t,x1
0.0,0.1
0.005,0.06172570184486582
0.01,-0.04354940348810825
0.015,-0.01500310586861114
0.02,0.03736433660651715
0.025,0.048770881064619125
0.03,-0.008691913969234022
0.035,0.01707112991954705
0.04,-0.08175011017004041
0.045,-0.14475954761342702
0.05,-0.014146207142803069
0.055,-0.022704006560348752
0.06,-0.10059152452909073
0.065,-0.22363729643782138
0.07,-0.16420450178983653
0.075,-0.12858094121110195
0.08,-0.23468583531378467
0.085,-0.2619820264808898
0.09,-0.12742382572400682
0.095,-0.15537953606259922
0.1,0.042494712738924884
0.105,0.21200114968884443
0.11,0.25264543574430387
0.115,0.18861179745663026
0.12,0.21832168625244308
0.125,0.1737314954743716
0.13,0.0927309288845074
0.135,0.05195024534233415
0.14,-0.05346674229323565
0.145,-0.043196928295161946
0.15,-0.07528851273546663
0.155,-0.20670403997156234
0.16,-0.34932870423011986
0.165,-0.33230551000626435
0.17,-0.31294446655782976
0.17500000000000002,-0.2425328445596933
0.18,-0.1812588492323211
0.185,-0.16094919716543837
0.19,-0.14339463116800436
0.195,-0.22197046839180135
0.2,-0.344193575332235
0.20500000000000002,-0.40465335209850367
0.21,-0.7112321778931263
0.215,-0.6751560157589747
0.22,-0.6905213403635785
0.225,-0.7285391861786081
0.23,-0.7866420751610794
0.23500000000000001,-0.804117901714966
0.24,-0.9057413962581443
0.245,-1.0673157503826296
0.25,-1.0781024961152146
0.255,-1.2438450018921314
0.26,-1.1452966214883693
0.265,-1.0753777840797014
0.27,-1.0955026250209694
0.275,-1.02678079470352
0.28,-0.9011189060974379
0.28500000000000003,-0.8432443962251799
0.29,-0.6220372661528919
0.295,-0.5496272071331401
0.3,-0.5777975620252103
0.305,-0.6591506811240136
0.31,-0.5412641722232624
0.315,-0.4590450030838222
0.32,-0.4141430109410369
0.325,-0.4530300365552248
0.33,-0.5897139053562774
0.335,-0.4774257632601813
0.34,-0.6366428538193998
0.34500000000000003,-0.6111725551842008
0.35000000000000003,-0.6355135145114987
0.355,-0.6932901465568191
0.36,-0.6882766531378816
0.365,-0.6395237659396245
0.37,-0.5966715610691845
0.375,-0.47349224119999866
0.38,-0.5854167887688212
0.385,-0.6687607888488643
0.39,-0.5705661833324649
0.395,-0.4001036281368876
0.4,-0.35426841807943305
0.405,-0.09106965850582982
0.41000000000000003,-0.0017178530776634227
0.41500000000000004,0.09095170432306639
0.42,0.009693276364953082
0.425,0.013123877692847835
0.43,0.00858129469982431
0.435,-0.008916174251710774
0.44,-0.09837646669759963
0.445,-0.16326471353081123
0.45,-0.07234984337823945
0.455,-0.07075208659673604
0.46,-0.28905001691765464
0.465,-0.23973001566065597
0.47000000000000003,-0.1680364891571059
0.47500000000000003,-0.1666277842581581
0.48,-0.19096051002810352
0.485,-0.3076521569599573
0.49,-0.48987167914066715
0.495,-0.41233344693979984
0.5,-0.547594228936223
0.505,-0.642569700630382
0.51,-0.5910906718349711
0.515,-0.5490717976923842
0.52,-0.5418602415715212
0.525,-0.415693844933256
0.53,-0.2597552057355629
0.535,-0.2940451625842764
0.54,-0.2561698170899549
0.545,-0.23721734893730162
0.55,-0.33818994704021355
0.555,-0.3554816850949408
0.56,-0.2954820588113172
0.5650000000000001,-0.352414680280368
0.5700000000000001,-0.33658854293982793
0.5750000000000001,-0.32312294460949337
0.58,-0.4424273286877318
0.585,-0.3907373351295182
0.59,-0.513824992747091
0.595,-0.7464313986222495
0.6,-0.9399439380789626
0.605,-1.132732841919054
0.61,-1.2798316858728458
0.615,-1.293563692370399
0.62,-1.221323834968929
0.625,-1.1997138484879748
0.63,-1.3582782790747219
0.635,-1.4443165834717953
0.64,-1.3941927099805806
0.645,-1.3833540562576145
0.65,-1.4588636768249215
0.655,-1.551368105031977
