t,x1
0.0,0.1
0.005,0.1219525211854161
0.01,-0.034638233712397465
0.015,-0.2302206679556908
0.02,-0.1964191340995141
0.025,-0.2883940988293319
0.03,-0.30651745353983656
0.035,-0.25366067222866595
0.04,-0.2294601892160865
0.045,-0.27877898272894164
0.05,-0.10303735760376659
0.055,-0.08447746897604194
0.06,-0.07227827118292128
0.065,-0.14449562186019055
0.07,-0.17491777551722235
0.075,-0.3614689551126337
0.08,-0.44291935719418285
0.085,-0.568918317182154
0.09,-0.601777680452835
0.095,-0.5319877014742244
0.1,-0.6120721431456055
0.105,-0.48217053315474495
0.11,-0.6487086159277072
0.115,-0.6021797413546731
0.12,-0.7599444881151426
0.125,-0.8416331117882212
0.13,-1.0189360532000624
0.135,-1.079721343625621
0.14,-1.1442975845007728
0.145,-1.1693777640829244
0.15,-1.2738700863701506
0.155,-1.2773893971223518
0.16,-1.253479009066741
0.165,-1.169657387301545
0.17,-1.1419008840222586
0.17500000000000002,-1.1386212897162142
0.18,-1.1560136106427572
0.185,-1.0564635862806284
0.19,-1.1893242612604535
0.195,-1.3886081394854057
0.2,-1.5428832923247362
0.20500000000000002,-1.432497592101562
0.21,-1.5228860537003925
0.215,-1.3989326498160828
0.22,-1.4082216445211397
0.225,-1.4702912194718356
0.23,-1.5525598174149462
0.23500000000000001,-1.3189375074037095
0.24,-1.2414424529200203
0.245,-1.3205012142741357
0.25,-1.3415441423123249
0.255,-1.4425318507553926
0.26,-1.5333351367631876
0.265,-1.5200420318270773
0.27,-1.5548746649785457
0.275,-1.6582668039836914
0.28,-1.6215046438529983
0.28500000000000003,-1.3016532512374077
0.29,-1.3100137636698737
0.295,-1.2364764366956542
0.3,-1.309777594563789
0.305,-1.2603375913059067
0.31,-1.2426475882381018
0.315,-1.1527495665868828
0.32,-1.0976627925196782
0.325,-0.9795537145425186
0.33,-0.9590806662936889
0.335,-1.0795314471259074
0.34,-1.0455279755822204
0.34500000000000003,-1.1457686250999417
0.35000000000000003,-1.1786700629915239
0.355,-1.1889306740856271
0.36,-1.0730793600597976
0.365,-0.9207365449772591
0.37,-0.9257244614352456
0.375,-0.9638238518751777
0.38,-1.06898261631994
0.385,-0.913076518840828
0.39,-0.922760677933068
0.395,-0.9121405007271116
0.4,-1.113249439144262
0.405,-1.0748062400096412
0.41000000000000003,-0.9895821428517737
0.41500000000000004,-1.0030678000977844
0.42,-1.0798033613245344
0.425,-1.1059140052586192
0.43,-1.1274283208017262
