t,x1
0.0,0.1
0.005,0.34114943753096055
0.01,0.31469674420913996
0.015,0.2719021908799059
0.02,0.22400226164721398
0.025,0.12408472848837945
0.03,0.2099246437641924
0.035,0.17261661882249735
0.04,0.1969491829467369
0.045,0.06624886523149762
0.05,0.04440715256264462
0.055,0.09548156832503543
0.06,0.14452595816126862
0.065,0.11048536993135076
0.07,0.05852970929541883
0.075,0.038130850983337565
0.08,-0.029011828708695744
0.085,0.10192860093060391
0.09,0.12432721899304397
0.095,-0.039153525217592536
0.1,-0.050577440962987774
0.105,-0.06341534888160835
0.11,-0.13488247877519724
0.115,-0.04861852519682526
0.12,-0.07723413877631281
0.125,0.09498780338373056
0.13,0.00601205323163366
0.135,0.14400998443014473
0.14,0.2902494354644827
0.145,0.3093718639211932
0.15,0.2200699807777983
0.155,0.35056777347919377
0.16,0.2904750386762762
0.165,0.2804822236521655
0.17,0.2522014878201145
0.17500000000000002,0.24756867686571898
0.18,0.4182573821118501
0.185,0.2963822850787797
0.19,0.04977456884067322
0.195,0.07659840902892265
0.2,-0.008720448611477388
0.20500000000000002,-0.04179613884017276
0.21,-0.055618723047760825
0.215,-0.17540411652397572
0.22,-0.357549275019641
0.225,-0.4077485498628863
0.23,-0.3614839576627839
0.23500000000000001,-0.28618989003593254
0.24,-0.1559264872038865
0.245,0.00040039084085172205
0.25,-0.0004953806313241231
0.255,0.1337010755315842
0.26,0.048095873609547854
0.265,0.08047786475180406
0.27,0.033438731524767076
0.275,0.10568107532215609
0.28,-0.007234129698520039
0.28500000000000003,-0.1753474546068343
0.29,-0.28022871889784745
0.295,-0.3759521622973259
0.3,-0.5565482397806396
0.305,-0.5432633375576249
0.31,-0.45153030261471444
0.315,-0.2350992242915026
0.32,-0.33660042885614533
0.325,-0.19339678790243178
0.33,-0.08194360865086045
0.335,-0.15429685865638473
0.34,-0.2840617191687169
0.34500000000000003,-0.34560603748558916
0.35000000000000003,-0.41789064735645803
0.355,-0.4631676980596561
0.36,-0.45351546906966894
0.365,-0.3830333547069477
0.37,-0.37203003431446124
0.375,-0.37683338150437096
0.38,-0.4478376018903588
0.385,-0.5926734854330604
0.39,-0.4990771496188585
0.395,-0.5835402366789082
0.4,-0.6152047751148941
0.405,-0.6294994156903889
0.41000000000000003,-0.5696197338883563
0.41500000000000004,-0.6808035586494584
0.42,-0.6024811391024093
0.425,-0.5998508758890869
0.43,-0.8073634401236873
0.435,-0.7710908478523658
0.44,-0.700624172764823
0.445,-0.6898469374402432
0.45,-0.606749814648924
0.455,-0.6616736829019241
0.46,-0.7427334323529121
0.465,-0.9488147659439683
0.47000000000000003,-0.8677759632089209
0.47500000000000003,-0.8663736305991758
0.48,-0.8196166777207715
0.485,-0.7497176678123123
0.49,-0.7595658655860551
0.495,-0.6780903567126518
0.5,-0.7299839804458287
0.505,-0.6578297911479516
0.51,-0.6579715137989802
0.515,-0.5060467503685451
0.52,-0.6155406909886757
0.525,-0.6464206584502943
0.53,-0.6382469583498364
0.535,-0.729953800926097
0.54,-0.944110590836555
0.545,-1.1103865011261482
0.55,-1.1293997693314866
0.555,-1.266049081023973
0.56,-1.2352035746060595
0.5650000000000001,-1.1344926189617743
0.5700000000000001,-1.155837535110015
0.5750000000000001,-1.1072438560874336
0.58,-1.255822784157318
0.585,-1.2771738177478855
0.59,-1.3162233787077064
0.595,-1.2965395207103039
0.6,-1.3641386595708744
0.605,-1.302980826446439
0.61,-1.3411520228616285
0.615,-1.2537355069069422
0.62,-1.3500499439851628
0.625,-1.4779204628160492
0.63,-1.4437502209895414
0.635,-1.6049601224922676
0.64,-1.657896638933981
0.645,-1.6224593962974228
0.65,-1.5501718496250863
0.655,-1.5631012811137195
0.66,-1.57354217954729
0.665,-1.2429570439972522
0.67,-1.2567900866988893
0.675,-1.2298817480058635
0.68,-1.1353567117318437
0.685,-1.21631319392588
0.6900000000000001,-1.011129873857556
0.6950000000000001,-0.9682538810158882
0.7000000000000001,-0.7989745209192217
0.705,-0.9658110869879991
0.71,-0.9538011391725921
0.715,-1.1317654369456311
0.72,-1.133676000141314
0.725,-1.1437795951055987
0.73,-1.274773314360954
0.735,-1.4179971019852537
0.74,-1.5509070264886444
0.745,-1.6327591706518558
0.75,-1.5575760898554531
0.755,-1.4998985528499145
0.76,-1.3526183023206892
0.765,-1.274632430598134
0.77,-1.3462103470988442
0.775,-1.2005161534808888
0.78,-1.1500849829725084
0.785,-1.1580021205203723
0.79,-0.9787124414731523
0.795,-1.0800159741576583
0.8,-1.0697437570382884
0.805,-1.062168007135444
0.81,-1.0201250159167168
0.8150000000000001,-1.0225012207808237
0.8200000000000001,-1.2009748586109918
0.8250000000000001,-1.1590961690816304
0.8300000000000001,-0.9995302162612444
0.835,-1.025119065858729
0.84,-0.9651974742991118
0.845,-0.9932992145914815
