t,x1
0.0,0.1
0.005,0.11338954634752546
0.01,-0.04029716927355326
0.015,-0.1256438953288193
0.02,-0.11301548055607184
0.025,-0.18515615036611122
0.03,-0.21433736485561355
0.035,-0.1387954281718557
0.04,-0.2824710129532289
0.045,-0.3629825085507652
0.05,-0.6323888101103998
0.055,-0.5632255963055914
0.06,-0.576468041793997
0.065,-0.4840513595816538
0.07,-0.5368938099556956
0.075,-0.6333185886578452
0.08,-0.6717176473636112
0.085,-0.8045349411257988
0.09,-0.7298221894617607
0.095,-0.8060896306423029
0.1,-0.9037486331332559
0.105,-0.8887479355070435
0.11,-0.6189907246482864
0.115,-0.8167254083019813
0.12,-0.6607971591787234
0.125,-0.7001763698762037
0.13,-0.6215123754138896
0.135,-0.482622871499504
0.14,-0.46091292577300735
0.145,-0.45277493489290005
0.15,-0.3666802039299873
0.155,-0.2389131396824007
0.16,-0.3719159060588977
0.165,-0.3628953580425199
0.17,-0.2964333253904144
0.17500000000000002,-0.21372015794713134
0.18,-0.20948478454936553
0.185,-0.22334225104241712
0.19,-0.25652157808037024
0.195,-0.19027632114289741
0.2,-0.2931263389229246
0.20500000000000002,-0.30504599205467414
0.21,-0.213934705399419
0.215,-0.41686275917673377
0.22,-0.4626463394621957
0.225,-0.4433267838669643
0.23,-0.3107044703520076
0.23500000000000001,-0.1276036914493813
0.24,-0.18158515896005975
0.245,-0.015258938813719147
0.25,-0.08196727576509606
0.255,-0.11711797017881924
0.26,-0.21422193723614136
0.265,-0.25793506298239954
0.27,-0.2674434800946087
0.275,-0.3702649124642807
0.28,-0.5150044635556683
0.28500000000000003,-0.5160651417034942
0.29,-0.5248412299136807
0.295,-0.5035499163769125
0.3,-0.5139988129044128
0.305,-0.4635968098149067
0.31,-0.5471477752019093
0.315,-0.6678690173031756
0.32,-0.5614619557083886
0.325,-0.5918246316283076
0.33,-0.7397731032255214
0.335,-0.7717761038729566
0.34,-0.6267758092183546
0.34500000000000003,-0.8647948810286483
0.35000000000000003,-0.828269379516447
0.355,-0.9743367789986097
0.36,-1.142715497238194
0.365,-1.2347286400743562
0.37,-1.1359105903740823
0.375,-1.087356101743957
0.38,-1.1320750040922676
0.385,-1.1480540142102431
0.39,-1.088376286794114
0.395,-1.0640802119434323
0.4,-1.0970376833938107
0.405,-1.0465136292158945
0.41000000000000003,-1.0746972892092572
0.41500000000000004,-0.9379634189160311
0.42,-0.97542474980564
0.425,-1.1055080765988243
0.43,-1.0938759679765848
0.435,-1.1583707894363715
0.44,-1.2446805082099488
0.445,-1.2661587451600596
0.45,-1.2158788590501899
0.455,-1.2477443116916933
0.46,-1.2408481902142778
0.465,-1.1007383293478856
0.47000000000000003,-0.987183749523156
