t,x1
0.0,0.1
0.005,-0.005283829432196352
0.01,-0.0849850582414425
0.015,-0.2696760930410899
0.02,-0.5029313720761907
0.025,-0.44774164669298144
0.03,-0.41694984360832765
0.035,-0.2645942677977925
0.04,-0.29194479831329945
0.045,-0.590447791715816
0.05,-0.35884911366210914
0.055,-0.3801751326037841
0.06,-0.2887970802309495
0.065,-0.41636784442336217
0.07,-0.3288220200034169
0.075,-0.4000636295362546
0.08,-0.42603257130398103
0.085,-0.4047889718933077
0.09,-0.367379998097394
0.095,-0.44572626017668
0.1,-0.353031775033626
0.105,-0.4052598291423588
0.11,-0.515637690071073
0.115,-0.4302603581942573
0.12,-0.5246274514658995
