t,x1
0.0,0.1
0.005,0.12365455676716522
0.01,0.13436765887020186
0.015,0.058212263875497175
0.02,-0.06658804884453548
0.025,0.011836250620604491
0.03,0.04499087093429367
0.035,0.110498521359116
0.04,-0.026721664998670236
0.045,-0.10139594246646821
0.05,-0.13157575358838344
0.055,-0.25020444067473946
0.06,-0.29710587717226994
0.065,-0.1979721104376197
0.07,-0.2169643102904809
0.075,-0.2392161816786088
0.08,-0.17013128327997196
0.085,-0.008701511345966473
0.09,-0.014927447605723097
0.095,0.08360946073479658
0.1,0.07844617461036303
0.105,-0.015834019637017402
0.11,-0.1056985549328708
0.115,0.040010767001625855
0.12,0.07591137704834695
0.125,0.05851272742255051
0.13,0.061498400081371946
0.135,-0.015794773254375755
0.14,-0.10521553564360343
0.145,-0.2007413565324842
0.15,-0.07650506314202259
0.155,-0.28753538125585615
0.16,-0.33474840242523457
0.165,-0.22818927582607818
0.17,-0.2915092462090692
0.17500000000000002,-0.3430293687197283
0.18,-0.3549088740493997
0.185,-0.5775772196521299
0.19,-0.6612769209518594
0.195,-0.749915831672766
0.2,-0.5835165763280206
0.20500000000000002,-0.48862926093523995
0.21,-0.514998486618334
0.215,-0.30856910885112054
0.22,-0.01876091490123999
0.225,-0.030005874529707467
0.23,-0.029988094471645497
0.23500000000000001,0.008445287955919367
0.24,0.15757394598659313
0.245,0.1994536739819727
0.25,-0.16346846533675527
0.255,-0.20327307006391773
0.26,-0.1983824349157929
0.265,-0.17888885040532995
0.27,-0.37829504900158284
0.275,-0.40191603880196747
0.28,-0.32115873187576777
0.28500000000000003,-0.18687605820789355
0.29,-0.038558738415293226
0.295,-0.1355589824225231
0.3,-0.2885914881588001
0.305,-0.2651294257555275
0.31,-0.4623145381133256
0.315,-0.48470766569454293
0.32,-0.4873366813698401
0.325,-0.5048096429740352
0.33,-0.748604963902821
0.335,-0.5963885299033203
0.34,-0.6514570104356986
0.34500000000000003,-0.5998177608863292
0.35000000000000003,-0.6245258222170383
0.355,-0.6883676888865923
0.36,-0.826629015871722
0.365,-0.8128604736837266
0.37,-0.9145984492295566
0.375,-0.9429326301153871
0.38,-1.0091924641549994
0.385,-1.0229831955257493
0.39,-0.9678084931097078
0.395,-0.9478611247984093
0.4,-0.8321057693266792
0.405,-0.7706732625103968
0.41000000000000003,-0.7590763677994014
0.41500000000000004,-0.680301604422386
0.42,-0.6769474434397075
0.425,-0.7718941727762366
0.43,-0.7987988961695273
0.435,-0.8339580420153124
0.44,-0.7534417169817794
0.445,-0.6727176886783677
0.45,-0.5644317116250064
0.455,-0.6733059396774353
0.46,-0.4984026065234906
0.465,-0.4897999329560852
0.47000000000000003,-0.47472930358683385
0.47500000000000003,-0.517029902404544
0.48,-0.4906898941707762
0.485,-0.4851481844836216
0.49,-0.5097045810079432
0.495,-0.6062034740219302
0.5,-0.44921289607658776
0.505,-0.49312210413047414
0.51,-0.6836995066788119
0.515,-0.7846197894066633
0.52,-0.741826701612261
0.525,-0.7867648845387069
0.53,-0.7771272917174112
0.535,-0.7079473083691769
0.54,-0.687700712884777
0.545,-0.5951887838946738
0.55,-0.48747616871839694
0.555,-0.5186621461807365
0.56,-0.4481204815989764
0.5650000000000001,-0.3717729043236595
0.5700000000000001,-0.3254776098867541
0.5750000000000001,-0.29455085964512195
0.58,-0.3827324044080542
0.585,-0.0614156995640141
0.59,0.028879442340474078
0.595,0.15089655819815675
0.6,0.17952113910075354
0.605,0.03924292522029291
0.61,0.1987720891513003
0.615,0.25493204083896726
0.62,0.1500824555725161
0.625,0.20224211221667576
0.63,0.5199426387150591
0.635,0.4653986920611088
0.64,0.4155592131246948
0.645,0.471439811634237
0.65,0.3696748092709343
0.655,0.333120090016457
0.66,0.5109472213677011
0.665,0.36417620370791803
0.67,0.6334576538942922
0.675,0.683100994145569
0.68,0.6394380493204534
0.685,0.3927460504505036
0.6900000000000001,0.3537345862854699
0.6950000000000001,0.38773180946521585
0.7000000000000001,0.37705153346022885
0.705,0.5436879733060151
0.71,0.48116960702652
0.715,0.3983711144435225
0.72,0.2812661727736951
0.725,0.3110202388888652
0.73,0.321337858095978
0.735,0.3721947463550782
0.74,0.19641805233473375
0.745,0.16934537587970416
0.75,0.048945456473225124
0.755,-0.04553766849402501
0.76,0.015995620981974726
0.765,0.0072563417641431024
0.77,-0.04946637818886242
0.775,0.0924495720921098
0.78,0.03610181726936603
0.785,0.08293552193749586
0.79,0.07786611429722815
0.795,0.08003111980351177
0.8,0.16994631076941547
0.805,0.1427747170366552
0.81,0.16595638884405092
0.8150000000000001,0.23024530489301648
0.8200000000000001,0.38477277946441446
0.8250000000000001,0.44576581105747864
