t,x1
0.0,0.1
0.005,0.2344345114893802
0.01,0.39327780465522455
0.015,0.39467541635433606
0.02,0.280016340642908
0.025,0.13703995275698425
0.03,0.18603862673128624
0.035,0.20332494435263987
0.04,0.3060177926091236
0.045,0.31837058108098565
0.05,0.24198661204506058
0.055,0.3120456212572598
0.06,0.2806830223623671
0.065,0.39568867513354766
0.07,0.5087825579358859
0.075,0.5995232877372154
0.08,0.6827988043932833
0.085,0.5792155725156599
0.09,0.5669760767121456
0.095,0.5134533666087152
0.1,0.5038749390944451
0.105,0.5140497008084639
0.11,0.6130853513090037
0.115,0.5002364018357579
0.12,0.4571284054618279
0.125,0.2221380584909877
0.13,0.21907456268120074
0.135,0.25024745416078953
0.14,0.1732100390042025
0.145,0.13687601036322256
0.15,0.3749527950082848
0.155,0.28790202955943245
0.16,0.28343852808555525
0.165,0.36740962008811584
0.17,0.2016690732918778
0.17500000000000002,0.22635145364027046
0.18,0.18005434034385942
0.185,0.2705932561540306
0.19,0.13837926094867156
0.195,-0.1272924738762167
0.2,-0.10300293610823598
