t,x1
0.0,0.1
0.005,0.04781993543368851
0.01,-0.0891192096402448
0.015,-0.07802585914742646
0.02,-0.1351470222138746
0.025,-0.23581283879377163
0.03,-0.20638314322534052
0.035,-0.41151412970552526
0.04,-0.5055640224637116
0.045,-0.38823379325170926
0.05,-0.5979373410409691
0.055,-0.6079461896878029
0.06,-0.6179994175245946
0.065,-0.6654387315878665
0.07,-0.6579942663858114
0.075,-0.8115945569399853
0.08,-0.9850048824033001
0.085,-1.0053466348228541
0.09,-0.8292196474483562
0.095,-0.8840228231899617
0.1,-0.931490181272433
0.105,-0.848602467015595
0.11,-0.71052888628645
0.115,-0.628609681000277
0.12,-0.7087937089726006
0.125,-0.7294807113649494
0.13,-0.7827369451288521
0.135,-0.8185415183167758
0.14,-0.873570828762998
0.145,-0.9344974719233015
0.15,-0.8603485714809077
0.155,-0.8888496308711308
0.16,-0.8539422556692804
0.165,-0.8146465389437186
0.17,-0.9148883946751792
0.17500000000000002,-0.8782245599697052
0.18,-0.7591242039218725
0.185,-0.7331092995684615
0.19,-0.5643225459113101
0.195,-0.6235581599109171
0.2,-0.564385170793938
0.20500000000000002,-0.5359205030919293
0.21,-0.46814154368996275
0.215,-0.48224551361555074
0.22,-0.47727615587978106
0.225,-0.563539105290681
0.23,-0.7176131770756126
0.23500000000000001,-0.6407835728758086
0.24,-0.9876790950089218
0.245,-1.0105278832608422
0.25,-1.2110262755960015
0.255,-1.3487875061082881
0.26,-1.3034636176980496
0.265,-1.3644666860523413
0.27,-1.3345622537350317
0.275,-1.3948674617325734
0.28,-1.4241688671530361
0.28500000000000003,-1.3804228611029636
0.29,-1.3702552849476497
0.295,-1.4203825197012216
0.3,-1.5711264339094904
0.305,-1.467032088020366
0.31,-1.5115433590856129
0.315,-1.595446644022402
0.32,-1.690956100125532
0.325,-1.490874388664444
0.33,-1.4809097444642136
0.335,-1.6033143031627344
0.34,-1.6721984191760801
0.34500000000000003,-1.6955106237910507
0.35000000000000003,-1.7334694380844524
0.355,-1.7094892147079515
0.36,-1.6631596859275408
0.365,-1.6814630475015746
0.37,-1.6847340808603013
0.375,-1.743727061467614
0.38,-1.6142226894497167
0.385,-1.617958815422556
0.39,-1.5080455384341558
0.395,-1.5010513170957405
0.4,-1.5627279642822973
0.405,-1.6490531257425114
0.41000000000000003,-1.8171511328942795
0.41500000000000004,-1.8722824523817463
0.42,-1.7844571627193155
0.425,-1.908962270952625
0.43,-1.8969684995713871
0.435,-1.8875011602909266
0.44,-1.8452889408016773
0.445,-1.574330278732157
0.45,-1.4478168675822298
0.455,-1.5243538399791006
0.46,-1.53481586194393
