t,x1
0.0,0.1
0.005,0.007828161491772359
0.01,0.12202627166988342
0.015,0.013613219556110417
0.02,-0.01205100793107186
0.025,0.06315214872218812
0.03,0.21975401479505421
0.035,0.29693303132119286
0.04,0.2830947793061007
0.045,0.38200073007900937
0.05,0.3019231351973191
0.055,0.34316106094429777
0.06,0.40869035747439925
0.065,0.300177674408251
0.07,0.21834617217035232
0.075,0.17585896119150526
0.08,0.2001781372664394
0.085,0.08576670004329918
0.09,0.07842746405671158
0.095,0.05366857027155656
0.1,0.017901337554325075
0.105,-0.00904655468378052
0.11,-0.14194988773364203
0.115,-0.17948481047763676
0.12,-0.28480446301947837
0.125,-0.26438983996137083
0.13,-0.21255070107613466
0.135,-0.17020362966823577
0.14,-0.277980353351284
0.145,-0.2658082690432057
0.15,-0.37315375811562224
0.155,-0.45398075023630413
0.16,-0.4252969794253174
0.165,-0.4127813561526735
0.17,-0.513314048295487
0.17500000000000002,-0.5534031888927222
0.18,-0.4771213285938887
0.185,-0.4532960232608042
0.19,-0.572850901773021
0.195,-0.6039507936091336
0.2,-0.6962592855092886
0.20500000000000002,-0.6137734315849609
0.21,-0.5423350856738794
0.215,-0.49621091527244043
0.22,-0.5583678490815465
0.225,-0.5479835862318527
0.23,-0.5877923003027585
0.23500000000000001,-0.4294967530994548
0.24,-0.4308287844644106
0.245,-0.42306450727648703
0.25,-0.36798394956645264
0.255,-0.39908423397528087
0.26,-0.37625742707581494
0.265,-0.3339613840681483
0.27,-0.2493399186664122
0.275,-0.2444955222208421
0.28,-0.2848940643476402
0.28500000000000003,-0.36659400983857565
0.29,-0.5046183791860875
0.295,-0.4171754030845103
0.3,-0.4628097086350863
0.305,-0.34888371026650944
0.31,-0.27336054131236354
0.315,-0.4365613613058332
0.32,-0.43698543381271876
0.325,-0.6183229506711194
0.33,-0.6566693221524365
0.335,-0.7049629185599302
0.34,-0.7412445764117743
0.34500000000000003,-0.7342844302991215
0.35000000000000003,-0.7232047357550402
0.355,-0.6698138553057972
0.36,-0.5874055344758643
0.365,-0.5354929852154593
0.37,-0.5538424520169615
0.375,-0.5057958135406248
0.38,-0.5470734140693847
0.385,-0.4610318665891274
0.39,-0.47551126559549606
0.395,-0.5197544064407797
0.4,-0.38973319028584363
0.405,-0.2856457821280076
0.41000000000000003,-0.37430855496483273
0.41500000000000004,-0.5484719116939918
0.42,-0.6749211033990896
0.425,-0.6627689334102617
0.43,-0.6962657476708088
0.435,-0.8604055866186174
0.44,-0.8471074921429905
0.445,-0.8729161213242579
0.45,-0.8820108622979088
0.455,-0.5931324939462324
0.46,-0.6074956121954624
0.465,-0.3381996784322826
0.47000000000000003,-0.5574368177953917
0.47500000000000003,-0.4483122066111832
0.48,-0.47621308538106566
0.485,-0.5841788033719119
0.49,-0.49837432191471603
0.495,-0.4850524672771114
0.5,-0.570607915060613
0.505,-0.6463278050275851
0.51,-0.68218341632909
0.515,-0.6333629307099453
0.52,-0.5108945769571935
0.525,-0.4821895652857576
0.53,-0.33720803917450426
0.535,-0.33322008800295266
0.54,-0.23516855946115098
0.545,-0.24111666189540157
0.55,-0.20108503459053542
0.555,-0.3772094687135948
0.56,-0.39617890320406174
