t,x1
0.0,0.1
0.005,0.05041127956202421
0.01,-0.0444043222196521
0.015,0.04930865984772896
0.02,-0.15768288695893065
0.025,-0.1015449176714858
0.03,0.03545095499631143
0.035,0.09255047565145932
0.04,0.11677421158422448
0.045,0.34065928229067427
0.05,0.3272888688829978
0.055,0.4008541336413851
0.06,0.3576880221023131
0.065,0.3390482713164549
0.07,0.32248456884729937
0.075,0.3735412155157713
0.08,0.4146650725651224
0.085,0.35420694799147184
0.09,0.39514296030350676
0.095,0.325902937966236
0.1,0.3391066762992556
0.105,0.2461704672822575
0.11,0.1743251491690176
0.115,0.1808469442966121
0.12,0.17193245231611323
0.125,0.2156907484719669
0.13,0.31745730236135916
0.135,0.3111423580182199
0.14,0.4186496585237378
0.145,0.34613636115507096
0.15,0.3025241421823011
0.155,0.3754218411829171
0.16,0.3321794471043947
0.165,0.24582195389871853
0.17,0.2903210811612914
0.17500000000000002,0.3568822367079416
0.18,0.3264203854941816
0.185,0.20955270136446957
0.19,0.29168137819387585
0.195,0.3664920084335873
0.2,0.33327335856837936
0.20500000000000002,0.34095748124288344
0.21,0.33398100517118356
0.215,0.41426737527680363
0.22,0.5985506039336266
0.225,0.4418700925029406
0.23,0.43659476248400275
0.23500000000000001,0.5267360615957621
0.24,0.5762435344789802
0.245,0.6202054893502265
0.25,0.6152004854863135
0.255,0.49161826609235754
0.26,0.592964649406795
0.265,0.5960503601789834
0.27,0.5184333512345252
0.275,0.3816314425662971
0.28,0.43517574464485903
0.28500000000000003,0.48052660560980837
0.29,0.42588479152996317
0.295,0.5094165427741478
0.3,0.4598361960758267
0.305,0.6095564046072521
0.31,0.7153804493821617
0.315,0.7289524446926466
0.32,0.7046948381064472
0.325,0.8050732977121893
0.33,0.8049105636849244
0.335,0.8103002476276893
0.34,0.8479899459015859
0.34500000000000003,0.8156432265631424
0.35000000000000003,0.8321612788129472
0.355,0.7930463613120682
0.36,0.7645639106559186
0.365,0.8810777963077077
0.37,0.9690630105932194
0.375,1.0932429780523267
0.38,1.0874500599395303
0.385,1.0961568840506584
0.39,1.0490265844652396
0.395,0.9997559441776007
0.4,0.8926194001915326
0.405,1.0561368750070796
0.41000000000000003,1.1445678442476999
0.41500000000000004,1.0074894302199002
0.42,0.9174201456692671
0.425,0.859254036158139
0.43,0.9344681822414114
0.435,0.8533506621009331
0.44,0.886903947189552
0.445,0.9743270392223464
0.45,0.9213918531684964
0.455,0.7141982274693177
0.46,0.7053056232216486
0.465,0.9479648873701251
0.47000000000000003,0.981501214371091
0.47500000000000003,1.0693822270687656
0.48,1.0671865638922278
0.485,1.060663861728429
0.49,0.9959914311483115
0.495,1.030567709707605
0.5,0.9707897863270455
0.505,0.9973676476353437
0.51,0.9362693150786184
0.515,1.1658857204881892
0.52,1.1513554378729132
0.525,1.1348718487525487
0.53,1.167642090084759
0.535,1.0711491184073227
0.54,0.9973245491195311
0.545,1.3052012655695409
0.55,1.268462351981937
0.555,1.3766639228522144
0.56,1.2451866567886725
0.5650000000000001,1.0720211495468541
0.5700000000000001,0.9992549015602121
0.5750000000000001,0.9690634095429165
0.58,1.1026864512588912
0.585,1.0202490161530193
0.59,1.0190125991377172
0.595,0.9627501167289935
0.6,0.6981124507580655
0.605,0.7171189259263765
0.61,0.7952813658815903
0.615,0.7948700227436306
0.62,0.6587856211143164
0.625,0.658471080506501
0.63,0.5162214953243999
0.635,0.3030209811344615
0.64,0.16987066103233467
0.645,0.0784890227553733
0.65,0.0664146994733412
0.655,0.07065850792914857
0.66,0.16132340015534874
0.665,0.3098585179898993
0.67,0.4096090187359894
0.675,0.4266688359411319
0.68,0.32496760747130804
0.685,0.5233566741096521
0.6900000000000001,0.3741981960139713
0.6950000000000001,0.49331024681955987
0.7000000000000001,0.43803468583899086
0.705,0.16294109015458458
0.71,0.26642748979915054
0.715,0.10973390369718664
0.72,0.1383232990302131
0.725,-0.036802652758364224
0.73,-0.027459958580111236
0.735,-0.30609777585139913
