t,x1
0.0,0.1
0.005,0.10297844386064485
0.01,0.06556116963361289
0.015,0.021614218276905642
0.02,-0.04486019807621401
0.025,-0.10691333119761276
0.03,-0.2462078755927865
0.035,-0.12802078152658242
0.04,-0.1737456703941163
0.045,-0.31340759215774433
0.05,-0.4687663203914363
0.055,-0.410199974555798
0.06,-0.45767364266186855
0.065,-0.4877354435936231
0.07,-0.39561766959961386
0.075,-0.438847928595289
0.08,-0.4162776164750626
0.085,-0.5180663081332828
0.09,-0.5243796577857859
0.095,-0.5169515960758759
0.1,-0.528673654100871
0.105,-0.5006366852747401
0.11,-0.5216379685970968
0.115,-0.5156719392686745
0.12,-0.6077432979771916
0.125,-0.6617605700438236
0.13,-0.6681344836070509
0.135,-0.8356157268901065
0.14,-0.7992875537138409
0.145,-0.7485906046637016
0.15,-0.7145008377802786
0.155,-0.7351094838091248
0.16,-0.725380769786281
0.165,-0.6541161889534362
0.17,-0.6107501974041776
0.17500000000000002,-0.6364515034607934
0.18,-0.6282495870587271
0.185,-0.6636187241347479
0.19,-0.5497552671805227
0.195,-0.523698397611666
0.2,-0.6558117810387698
0.20500000000000002,-0.6402356980971521
0.21,-0.62268575445577
0.215,-0.6824122277849614
