t,x1
0.0,0.1
0.005,0.0526909720910613
0.01,-0.21443310846472816
0.015,-0.3829294539231839
0.02,-0.5259710674412891
0.025,-0.6098116466278696
0.03,-0.5481759920549953
0.035,-0.5267015800372943
0.04,-0.41577507951522974
0.045,-0.5016679845310796
0.05,-0.5455801039110004
0.055,-0.45685065987677753
0.06,-0.5189011840976684
0.065,-0.5085887437666702
0.07,-0.4357668574732435
0.075,-0.34813276334625826
0.08,-0.5374180462133409
0.085,-0.5662803796186325
0.09,-0.6164248496906277
0.095,-0.675896865948874
0.1,-0.6332612182712407
0.105,-0.588234644780128
0.11,-0.696101998249149
0.115,-0.5715641323940798
0.12,-0.5606855450619941
0.125,-0.6201929906328906
0.13,-0.7011972206640076
0.135,-0.631276155569371
0.14,-0.6834889630194152
0.145,-0.6890029693872596
0.15,-0.6851265031227034
0.155,-0.9067094218620636
0.16,-0.7948982096105462
0.165,-0.7945697583905261
0.17,-0.6194420590535916
0.17500000000000002,-0.49274480013739597
0.18,-0.5436178980081056
0.185,-0.5942667246235092
0.19,-0.6448490705215378
0.195,-0.5885576485398353
0.2,-0.5765096044804024
0.20500000000000002,-0.5562862891557447
0.21,-0.5008111286878894
0.215,-0.47379391970031703
0.22,-0.36102989445538064
0.225,-0.23965152431278114
0.23,-0.27614013828754563
0.23500000000000001,-0.2857176860751266
0.24,-0.1718421163877416
0.245,-0.1323450970576692
0.25,-0.22499594720667546
0.255,-0.20401192856287964
0.26,-0.04785814898765886
0.265,-0.11788045649150586
0.27,-0.19939052481933459
0.275,-0.09013303225778252
0.28,-0.07053630266447385
0.28500000000000003,-0.03135368849815641
0.29,0.10668090637498029
0.295,0.05244061730638265
0.3,0.14190272085896963
0.305,0.15130118684298827
0.31,0.22618568005380318
0.315,0.2854223777743321
0.32,0.34403974100119855
0.325,0.3025979219828059
0.33,0.40736663130798073
0.335,0.37522264595243643
0.34,0.36549355045607396
0.34500000000000003,0.30702549366462534
0.35000000000000003,0.49598127146429083
0.355,0.47740584271029823
0.36,0.5941630182467637
0.365,0.6425025415015881
0.37,0.6103166252012487
0.375,0.4823455351464482
0.38,0.4875616318736254
0.385,0.47001533454254657
0.39,0.519767878330504
0.395,0.3920835266517998
0.4,0.591040473869744
0.405,0.6270455427401587
0.41000000000000003,0.6245469037240798
0.41500000000000004,0.4536284577382933
0.42,0.4582743267621391
0.425,0.506288336179281
0.43,0.5861410293502576
0.435,0.4803847396395605
0.44,0.5313865889616989
0.445,0.5061981312407099
0.45,0.5280017956579182
0.455,0.6056083689938805
