t,x1
0.0,0.1
0.005,0.07772917733289343
0.01,0.17486289943975078
0.015,0.30366793535577474
0.02,0.3388970646255531
0.025,0.4801612249328038
0.03,0.543301576194471
0.035,0.555609157798424
0.04,0.33764246189179375
0.045,0.31376031748029554
0.05,0.3527710636742804
0.055,0.41103265891755497
0.06,0.5945580316551184
0.065,0.5993818405429442
0.07,0.5820486170320419
0.075,0.6605717999657383
0.08,0.7652796126950825
0.085,0.7519467564704966
0.09,0.7948858885439458
0.095,0.846411735672051
0.1,0.7549190290068226
0.105,0.612054576897548
0.11,0.30140650346641495
0.115,0.32205406768515504
0.12,0.3715437834160866
0.125,0.2846757025527337
0.13,0.2678032135905252
0.135,0.3652039483373572
0.14,0.22103260245260628
0.145,0.05247452649653764
0.15,-0.14314527935943475
0.155,-0.26268940639007277
0.16,-0.34937313042230356
0.165,-0.5681703048043758
0.17,-0.6047056055143751
0.17500000000000002,-0.6342657257443661
0.18,-0.4950078475403429
0.185,-0.30908555633454465
0.19,-0.44643494958498353
0.195,-0.5389982075395695
0.2,-0.5453299460865443
0.20500000000000002,-0.3429738264748213
0.21,-0.30199366560724195
0.215,-0.28772705852884395
0.22,-0.32762108557455594
0.225,-0.21889015862093425
0.23,-0.3194299313916408
0.23500000000000001,-0.4583484813450289
0.24,-0.35493428901614055
0.245,-0.2996977122569945
0.25,-0.25870352773482663
