t,x1
0.0,0.1
0.005,0.02219687056816469
0.01,0.13610177353645622
0.015,0.07617810721309942
0.02,0.06184373592136113
0.025,0.08830115073873529
0.03,0.07817495455116366
0.035,0.01807042084312488
0.04,-0.016509158368913514
0.045,0.004907272371540591
0.05,0.050683217672963965
0.055,0.016997982909704147
0.06,0.19360204763443978
0.065,0.08830868950738474
0.07,0.04107214711794425
0.075,0.09123031397081477
0.08,0.10462034359147744
0.085,0.2134250423368081
0.09,0.25504524723338473
0.095,0.32821734930617286
0.1,0.2584631683418007
0.105,0.4145771006745228
0.11,0.31552571471627017
0.115,0.23349478542505617
0.12,0.44360893462970474
0.125,0.40837361522656374
0.13,0.6190081506614946
0.135,0.6225833168517724
0.14,0.6082090651456084
0.145,0.5579506264753524
0.15,0.43142370127948254
0.155,0.43209119283764363
0.16,0.34204652852925577
0.165,0.3797925735736627
0.17,0.4310562580772621
0.17500000000000002,0.4348974292316031
0.18,0.4767661580716827
0.185,0.4173263195486087
0.19,0.5701077776201757
0.195,0.6397231167215354
0.2,0.6581529762487927
0.20500000000000002,0.6106054818156341
0.21,0.5572640889793891
0.215,0.36496124716354333
0.22,0.34488180014720377
0.225,0.26763194368979604
0.23,0.2217171635032562
0.23500000000000001,0.2856875046832809
0.24,0.38068072431033306
0.245,0.4913943449213539
0.25,0.47718577894829906
0.255,0.30223541799587866
0.26,0.37966405968602746
0.265,0.3932645964577797
0.27,0.35064799175189043
0.275,0.33890631112566866
0.28,0.4508740597756576
0.28500000000000003,0.5334190959205249
0.29,0.5570300451624338
0.295,0.6979834864689817
0.3,0.7803876823102995
0.305,0.7678838062961721
0.31,0.6947044693797
0.315,0.6223762363148787
0.32,0.5982204434572881
0.325,0.4343642065215935
0.33,0.2192704188402562
0.335,0.14755921719265366
0.34,0.0005703795068514872
0.34500000000000003,-0.08053058999172812
0.35000000000000003,-0.044296256124154415
0.355,-0.018796019495694382
0.36,0.05773118473984555
0.365,0.1289201487419394
0.37,0.04807858625018736
0.375,0.18816954271487799
0.38,0.2086167846472044
0.385,0.06293733401100887
0.39,0.04421660456580122
0.395,0.10524137117632029
0.4,0.20526303202813018
0.405,0.28923870950965463
0.41000000000000003,0.3500452228463671
0.41500000000000004,0.3624565838246441
0.42,0.43538070636200366
0.425,0.30719561746811597
0.43,0.29405124056216975
0.435,0.26080884832590107
0.44,0.18152854080888695
0.445,0.4036407066106107
0.45,0.4295294406957867
0.455,0.14631633570116748
0.46,0.4109972359493092
0.465,0.5221041741541868
0.47000000000000003,0.4336788433664422
0.47500000000000003,0.33358156579763765
0.48,0.08780693664539108
0.485,0.12751019004678926
0.49,0.17371116041935578
0.495,0.2274988591861483
0.5,0.1668822300018312
0.505,0.2134464043965824
0.51,0.1513818454122151
0.515,0.07751654531926684
0.52,-0.07451212352701543
0.525,0.08446384934215657
0.53,0.05833437071106966
0.535,-0.10903572605038417
0.54,-0.14936865582967848
0.545,-0.3972563447021066
0.55,-0.4330637115385232
0.555,-0.43189612743624245
0.56,-0.5637312248925067
0.5650000000000001,-0.647166114215063
0.5700000000000001,-0.78416587871048
