spectral_centroid_mean,spectral_centroid_std,centroid_range,std_increment,max_abs_increment,smoothness_ratio,residual_energy,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,speech_rate,zero_crossings_per_sec,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,filename,label,text
1877.5005706861236,1279.0616410794842,5586.1995104613325,671.3394927890312,3819.231173636439,0.5805291424933627,1635925.3391298677,1600.2204274086432,495.38187600837375,0.03446474,0.06334272,3348.2180009986682,2121.668778427372,0.1679225875915446,0.15911688067946445,5.722014148980441,2688.8888888888887,-372.7961,79.99548,1.8473115,7.3740973,12.512535,-4.1442,-19.582989,-15.949294,-9.931109,-13.562286,-17.88862,-4.24667,-2.3817227,152.32062,80.45969,36.26982,36.233055,22.15274,19.30192,18.453535,17.210932,15.845147,12.87631,12.088732,12.685998,10.604723,anthem_01_rand_64kb_segment10.wav,Real,when we were 5 years old we were sent to the home of the students where there are 10 words for r-10 years of learning men must learn till they reach their 50th year then they go to work in the home of the students we Rose when the big bell rang in the Tower and we went to bed when it rain again before we removed our garments we stood in the great sleeping hall and we raised our right arms and we said all together with a three teachers at the head we are nothing mankind is all by the grace of our brothers we are allowed our lives we exist through by and for our brothers who are the state
2092.9921314689122,1354.4998165924555,5741.430972434936,738.1376127674242,4493.226885929141,0.6091001689956403,1826060.626409455,1677.0650575726675,491.2650781000934,0.03752557,0.055150513,3701.1576186131388,2110.1759490266595,0.18242145918871655,0.15285624300381911,5.667554203119057,2922.2137694941043,-366.96484,65.019485,4.3716464,11.540962,12.529045,-3.0823421,-21.148342,-14.784417,-9.973516,-12.847731,-17.178741,-3.597317,-1.9258522,150.20616,80.13158,35.098106,34.31746,22.745365,17.940372,17.793146,17.638077,15.618975,12.349937,11.9224205,12.285742,9.413846,anthem_01_rand_64kb_segment11.wav,Real,then we slept the sleeping holes were white and clean and bare of all things say 100 beds we equality 7521 we're not happy and those years in the home of the students it was not that the learning was too hard for us it was that the learning was to easy this is a great sin to be born with a head which is too quick it is not good to be different from our Brothers but it is evil to be superior to them the teachers told us so and they frowned when they looked upon us so we fought against this curse we tried to forget our lessons but we always remembered we tried not to understand what the teachers taught but we always understood it before the teachers
1792.4687968754176,1210.3025764204908,5513.805319405287,692.4187348380913,3619.859737050275,0.6016703104715795,1464654.4612062953,1586.3582916828177,477.507081461419,0.028396804,0.04892765,3236.18812960093,2043.1638920452983,0.14652750871755132,0.13331775288240033,5.218549461193849,2347.75396537111,-361.58777,81.61675,3.1062589,17.849756,11.006576,-5.013316,-20.533216,-17.866362,-10.280651,-15.532421,-19.620945,-2.7779858,-2.4224532,143.7607,76.16269,35.87138,37.84099,23.777132,18.418627,18.658932,18.105013,15.334143,13.594184,12.198892,12.518886,10.870563,anthem_01_rand_64kb_segment12.wav,Real,wheel of the point Union 5 - 3992 who were a pale boy with only half a brain and we tried to say and do as they did that we might be like them like union 5 - 3992 but somehow the teachers knew that we were not and we were last more often than all the other children the teachers were just for they had been appointed by the council's and the council's are the voice of all justice for they are the voice of all men and if sometimes in the secret Darkness of our heart we regret that which be fellas on our 15th birthday we know that it was through our own guilt we had broken a law for we had not paid heed to the words of our teachers the teachers had said to us all dare not choose in your Minds the work you would like to do when you leave the home of the students you shall do that which the council of vocations shall prescribe for you for the council of vocations knows and it's great wisdom where you are needed by your brother men better than you can know it in your unworthy little minds and if you are not needed by your brother man there is no reason for you to burden the earth with your bodies
2104.61898785982,1405.9394610358377,5499.41654173824,725.6089237812346,3537.3102892375477,0.6165616921096614,1963911.0200939535,1675.2312787640567,511.54108323553197,0.041206647,0.06586113,3718.389318379791,2207.8275274242146,0.1975510228386324,0.16785786790222879,5.473856209150327,3166.639433551198,-366.81598,68.28313,7.399124,5.6725574,12.457737,-2.044853,-21.139956,-17.708014,-10.621901,-12.111411,-18.863846,-1.9887145,-1.8033773,149.84358,86.07381,36.312828,35.436012,22.532993,17.406654,19.642855,16.756744,15.641758,13.7116585,12.602871,11.844706,10.512244,anthem_01_rand_64kb_segment13.wav,Real,we know this well in the years of our childhood but our curse broke our will we were guilty and we confess it here we were guilty of a great transgression of preference we preferred some work in some lessons to the others we did not listen well to the history of all the council's elected since the great rebirth but we loved the science of things we wish to know we wish to know about all the things which make the Earth around us we asked so many questions that the teachers forbid
2077.3064125787405,1331.3949128897798,5414.1343096784985,728.6838012135272,3780.117841688475,0.6134966882213434,1762755.604369839,1700.5903347437036,440.4487500547391,0.03617848,0.056571133,3654.2456694756556,2088.3545087129237,0.18440572331460675,0.16063735126270726,6.030444964871195,2958.8407494145204,-340.87213,72.82359,8.194673,8.602704,7.9802675,-3.5927644,-10.575,-13.402942,-15.487385,-9.660061,-14.220944,-11.011093,-1.5639479,144.09718,80.93225,35.52466,33.337708,25.236322,20.374584,17.198195,17.423038,17.12163,12.507135,11.409736,12.230295,10.6252165,anthem_01_rand_64kb_segment14.wav,Real,we think that there are mysteries in the sky and under the water and in the plants which grow but the council of scholars has said that there are no mysteries and the council of scholars knows all things and we learnt much from our teachers we learnt that the Earth is flat and that the sun revolves around it which causes the day in the night we learn the names of all the winds which blow over the seas and push the sails of our great ships we learnt how to bleed men to cure them of all ailments
2165.2147159839874,1392.096654631276,5987.361141781805,684.554277420968,3496.1080916918554,0.6196388906331591,1937437.5515811672,1676.930529228105,457.1391991705502,0.04045289,0.0609467,3755.9632646276596,2113.18592992385,0.1990375924617686,0.17009876565125706,5.58961038961039,3187.4493506493504,-344.57974,65.80038,1.910103,4.341449,6.567432,-1.8810993,-10.973312,-12.285818,-14.754473,-8.224009,-13.994769,-12.157671,-1.2889787,146.22948,81.91717,35.37015,34.253735,20.57535,19.179073,16.89014,16.843359,16.206179,11.697798,11.858897,12.084768,9.88655,anthem_01_rand_64kb_segment15.wav,Real,we loved the science of things and in the darkness in the secret hour when we awoke in the night and there were no brothers around us but only their shapes in the beds and their snores we closed our eyes and we held Our Lips shut and we stopped our breath that no shutter might let our Brothers see or hear our guests and we thought that we wish to be sent to the home of the scholars when our time we come all the great modern inventions came from the home of the scholars such as the newest one which was found only 100 years ago of how to make candles from wax and string also how to make glass which is put in our windows to protect us from the rain to find these things the scholars must study the Earth then learn from the rivers from the Sands from the winds and the rocks and if we went to the home of the scholars we could learn from these also we could ask questions of these for they do not forbid questions and questions give us no rest we know not why are curse makes a secret no not what ever and ever but we cannot resist it it whispers to us that there are great things on this earth of ours and that we can know them if we try and that we must know them we ask why must we know but it has no answer to give us we must know that we may know
2133.680240414851,1356.4986284789106,5694.848738452371,701.8247055142668,4684.0706094270745,0.6038598180753506,1827869.8507959787,1657.5586529855175,426.5571694530868,0.03662425,0.053969182,3633.793673276676,2055.9444907372053,0.19454342245042494,0.16169658962207234,5.96574128765505,3120.4961606615475,-331.4598,66.995636,-1.9109786,9.352918,7.686588,-2.7500162,-11.253646,-14.155319,-14.049017,-12.128921,-12.786641,-13.444645,-2.4571078,138.57985,80.68223,35.87509,35.50473,21.637878,19.02739,18.33833,16.3368,16.01504,12.272051,11.918729,12.430189,10.44292,anthem_01_rand_64kb_segment16.wav,Real,so we wish to be sent to the home of the scholars we wished it so much that our hands trembled under the blankets in the night and we better arm to stop that other pain which we cannot endure it was Evil and we dare not face our brothers in the morning for a man may wish nothing for themselves and we were punished when the council of vocations came to give us our life mandates which tell those who reach their 50th year what their work is to be for the rest of their days
2295.6192119621996,1316.3504952354692,6117.059908499847,672.6483105734927,3251.4060572502817,0.6330560502109437,1669241.7072224577,1756.2697752605318,424.1606410987196,0.050110817,0.07136147,4057.2844529085874,1994.2267522308487,0.2187026597126039,0.1709954355473451,5.340646651270208,3506.379907621247,-367.99274,54.74162,1.6473334,8.685361,3.5634208,-0.29035467,-8.879593,-14.065034,-12.760385,-8.200002,-13.474314,-11.230827,0.16157916,166.0774,77.70086,33.62438,36.028557,22.022697,19.737032,15.765329,17.296268,15.85689,11.747894,12.972565,13.035454,9.491167,anthem_01_rand_64kb_segment17.wav,Real,the council of vocations came on the first day of spring and they sat in the great hall and we who were 15 and all the teachers came into the great hall and the council of vocations sat on a high deus and they had the two words to speak to each of the students they call the students names and when the students stepped before them one after another the council said Carpenter or doctor or cook or
2072.9964699666857,1321.7737338434001,5862.947435031726,692.976267557255,4396.724364007616,0.6080011095761406,1746309.8249232532,1688.2970141755388,455.5473178273135,0.03525026,0.052195966,3685.732950651131,2050.8701116334387,0.18550604545065114,0.15793951398014466,4.392543389757874,2972.0162845511036,-346.7236,68.27025,4.2242,9.30127,6.432878,-0.23767608,-13.048473,-16.08256,-16.099346,-11.171692,-14.231657,-13.786668,0.796584,154.95773,76.90441,35.014362,37.59473,23.223925,18.713375,18.172665,18.3429,17.265835,12.421849,11.925175,13.211538,9.904187,anthem_01_rand_64kb_segment18.wav,Real,then each student raise the right arm and said the will of our brothers be done now if the council has said Carpenter or cook the students so assigned go to work and they do not study any further but if the council has said later then those students go into the home of the leaders which is the greatest house in the city for it has three stories and there they study for many years so that they may become candidates and be elected to the city council and the state council and the world Council buy a free and general vote of all men but we wished not to be a leader even though it is a great honour we wish to be a
1904.1249601955399,1155.9687460342254,5520.09279707006,662.3983788355417,3861.5101666721102,0.6075068697988584,1333483.747646191,1629.4400591126641,482.94733836810394,0.037151612,0.05592861,3470.877127127127,1982.273514573338,0.1654369212962963,0.1297604104885582,5.758998435054774,2651.5179968701095,-355.85526,78.47868,-2.359858,11.299487,1.6267995,-0.7827237,-12.581342,-16.324265,-13.664692,-13.276217,-11.679442,-13.067745,0.5716872,154.57196,72.16509,37.97939,36.782993,23.462255,18.656218,17.947947,17.65321,14.327405,14.027985,11.178916,12.944462,10.263485,anthem_01_rand_64kb_segment19.wav,Real,so we awaited our turn in the great hall and then we heard the council of vocations call our name equality 7521 we walked to the days and our legs did not tremble and we looked up at the council there were five members of the council three of the male gender and two of the female their hair was white and their faces were cracked as the clay of a dry river bed they were
